ticker,action_label,entry_zone_reference,invalidation_reference,stop_reference,take_profit_reference,suggested_position_pct,max_loss_pct_of_account,reason,risks,manual_confirmation_required,broker_connection_allowed,real_order_allowed_by_script,old_holding_data_used
GOOGL,avoid,No entry; daily research score is below the manual-review threshold.,Not applicable.,Not applicable.,Not applicable.,0.00,0.00,AI infrastructure daily research score 5.19 using yfinance_public_market_data with ok quality.,Public data may be delayed or incomplete; medium volatility tier; independent human review is required.,yes,no,no,no
DLR,avoid,No entry; daily research score is below the manual-review threshold.,Not applicable.,Not applicable.,Not applicable.,0.00,0.00,Data centers daily research score 5.16 using yfinance_public_market_data with ok quality.,Public data may be delayed or incomplete; medium volatility tier; independent human review is required.,yes,no,no,no
AMZN,avoid,No entry; daily research score is below the manual-review threshold.,Not applicable.,Not applicable.,Not applicable.,0.00,0.00,Cloud software daily research score 5.12 using yfinance_public_market_data with ok quality.,Public data may be delayed or incomplete; medium volatility tier; independent human review is required.,yes,no,no,no
XLK,avoid,No entry; daily research score is below the manual-review threshold.,Not applicable.,Not applicable.,Not applicable.,0.00,0.00,Benchmark ETF daily research score 5.10 using yfinance_public_market_data with ok quality.,Public data may be delayed or incomplete; medium volatility tier; independent human review is required.,yes,no,no,no
META,avoid,No entry; daily research score is below the manual-review threshold.,Not applicable.,Not applicable.,Not applicable.,0.00,0.00,AI infrastructure daily research score 5.08 using yfinance_public_market_data with ok quality.,Public data may be delayed or incomplete; medium volatility tier; independent human review is required.,yes,no,no,no
NOW,avoid,No entry; daily research score is below the manual-review threshold.,Not applicable.,Not applicable.,Not applicable.,0.00,0.00,Cloud software daily research score 5.04 using yfinance_public_market_data with ok quality.,Public data may be delayed or incomplete; medium volatility tier; independent human review is required.,yes,no,no,no
QQQ,avoid,No entry; daily research score is below the manual-review threshold.,Not applicable.,Not applicable.,Not applicable.,0.00,0.00,Benchmark ETF daily research score 5.03 using yfinance_public_market_data with ok quality.,Public data may be delayed or incomplete; medium volatility tier; independent human review is required.,yes,no,no,no
CRWD,avoid,No entry; daily research score is below the manual-review threshold.,Not applicable.,Not applicable.,Not applicable.,0.00,0.00,Cybersecurity daily research score 5.01 using yfinance_public_market_data with ok quality.,Public data may be delayed or incomplete; high volatility tier; independent human review is required.,yes,no,no,no
MSFT,avoid,No entry; daily research score is below the manual-review threshold.,Not applicable.,Not applicable.,Not applicable.,0.00,0.00,Cloud software daily research score 5.00 using yfinance_public_market_data with ok quality.,Public data may be delayed or incomplete; low volatility tier; independent human review is required.,yes,no,no,no
NVDA,avoid,No entry; daily research score is below the manual-review threshold.,Not applicable.,Not applicable.,Not applicable.,0.00,0.00,AI infrastructure daily research score 4.95 using yfinance_public_market_data with ok quality.,Public data may be delayed or incomplete; high volatility tier; independent human review is required.,yes,no,no,no
SNOW,avoid,No entry; daily research score is below the manual-review threshold.,Not applicable.,Not applicable.,Not applicable.,0.00,0.00,Cloud software daily research score 4.92 using yfinance_public_market_data with ok quality.,Public data may be delayed or incomplete; high volatility tier; independent human review is required.,yes,no,no,no
ASML,avoid,No entry; daily research score is below the manual-review threshold.,Not applicable.,Not applicable.,Not applicable.,0.00,0.00,Semiconductors daily research score 4.87 using yfinance_public_market_data with ok quality.,Public data may be delayed or incomplete; medium volatility tier; independent human review is required.,yes,no,no,no
CRM,avoid,No entry; daily research score is below the manual-review threshold.,Not applicable.,Not applicable.,Not applicable.,0.00,0.00,Cloud software daily research score 4.85 using yfinance_public_market_data with ok quality.,Public data may be delayed or incomplete; medium volatility tier; independent human review is required.,yes,no,no,no
VRT,avoid,No entry; daily research score is below the manual-review threshold.,Not applicable.,Not applicable.,Not applicable.,0.00,0.00,Data centers daily research score 4.63 using yfinance_public_market_data with ok quality.,Public data may be delayed or incomplete; high volatility tier; independent human review is required.,yes,no,no,no
DDOG,avoid,No entry; daily research score is below the manual-review threshold.,Not applicable.,Not applicable.,Not applicable.,0.00,0.00,Cloud software daily research score 4.26 using yfinance_public_market_data with ok quality.,Public data may be delayed or incomplete; high volatility tier; independent human review is required.,yes,no,no,no
SMCI,avoid,No entry; daily research score is below the manual-review threshold.,Not applicable.,Not applicable.,Not applicable.,0.00,0.00,Data centers daily research score 3.88 using yfinance_public_market_data with ok quality.,Public data may be delayed or incomplete; very_high volatility tier; independent human review is required.,yes,no,no,no
