ticker,company_name,sector,industry,theme,liquidity_tier,volatility_tier,is_benchmark,max_position_pct,last_price,previous_close,intraday_change_pct,volume,average_volume,relative_volume,dollar_volume,day_high,day_low,fifty_two_week_high,fifty_two_week_low,data_timestamp,data_source,data_quality_label,market_data_usable,candidate_note
DLR,Digital Realty Trust,Real Estate,Data Center REIT,Data centers,large,medium,no,2.0,,,,,,,,,,,,2026-07-09T11:40:59-05:00,manual_csv_fallback_missing,insufficient_data,no,requires manual market data before scoring
MSFT,Microsoft Corporation,Technology,Cloud Software,Cloud software,mega,low,no,5.0,,,,,,,,,,,,2026-07-09T11:40:59-05:00,manual_csv_fallback_missing,insufficient_data,no,requires manual market data before scoring
GOOGL,Alphabet Inc.,Communication Services,Internet Content,AI infrastructure,mega,medium,no,4.0,,,,,,,,,,,,2026-07-09T11:40:59-05:00,manual_csv_fallback_missing,insufficient_data,no,requires manual market data before scoring
AMZN,Amazon.com Inc.,Consumer Discretionary,Cloud and E-commerce,Cloud software,mega,medium,no,4.0,,,,,,,,,,,,2026-07-09T11:40:59-05:00,manual_csv_fallback_missing,insufficient_data,no,requires manual market data before scoring
META,Meta Platforms,Communication Services,Internet Content,AI infrastructure,mega,medium,no,4.0,,,,,,,,,,,,2026-07-09T11:40:59-05:00,manual_csv_fallback_missing,insufficient_data,no,requires manual market data before scoring
ORCL,Oracle Corporation,Technology,Cloud Software,Cloud software,large,medium,no,3.0,,,,,,,,,,,,2026-07-09T11:40:59-05:00,manual_csv_fallback_missing,insufficient_data,no,requires manual market data before scoring
NOW,ServiceNow,Technology,Application Software,Cloud software,large,medium,no,3.0,,,,,,,,,,,,2026-07-09T11:40:59-05:00,manual_csv_fallback_missing,insufficient_data,no,requires manual market data before scoring
CRM,Salesforce,Technology,Application Software,Cloud software,large,medium,no,2.5,,,,,,,,,,,,2026-07-09T11:40:59-05:00,manual_csv_fallback_missing,insufficient_data,no,requires manual market data before scoring
SNOW,Snowflake,Technology,Data Platform Software,Cloud software,large,high,no,2.0,,,,,,,,,,,,2026-07-09T11:40:59-05:00,manual_csv_fallback_missing,insufficient_data,no,requires manual market data before scoring
DDOG,Datadog,Technology,Observability Software,Cloud software,large,high,no,2.0,,,,,,,,,,,,2026-07-09T11:40:59-05:00,manual_csv_fallback_missing,insufficient_data,no,requires manual market data before scoring
NET,Cloudflare,Technology,Edge Cloud Software,Cybersecurity,large,high,no,2.0,,,,,,,,,,,,2026-07-09T11:40:59-05:00,manual_csv_fallback_missing,insufficient_data,no,requires manual market data before scoring
CRWD,CrowdStrike,Technology,Cybersecurity,Cybersecurity,large,high,no,2.0,,,,,,,,,,,,2026-07-09T11:40:59-05:00,manual_csv_fallback_missing,insufficient_data,no,requires manual market data before scoring
PANW,Palo Alto Networks,Technology,Cybersecurity,Cybersecurity,large,medium,no,2.5,,,,,,,,,,,,2026-07-09T11:40:59-05:00,manual_csv_fallback_missing,insufficient_data,no,requires manual market data before scoring
ZS,Zscaler,Technology,Cybersecurity,Cybersecurity,large,high,no,2.0,,,,,,,,,,,,2026-07-09T11:40:59-05:00,manual_csv_fallback_missing,insufficient_data,no,requires manual market data before scoring
QQQ,Invesco QQQ Trust,ETF,Benchmark ETF,Benchmark ETF,mega,medium,yes,10.0,,,,,,,,,,,,2026-07-09T11:40:59-05:00,manual_csv_fallback_missing,insufficient_data,no,requires manual market data before scoring
XLK,Technology Select Sector SPDR Fund,ETF,Benchmark ETF,Benchmark ETF,mega,medium,yes,10.0,,,,,,,,,,,,2026-07-09T11:40:59-05:00,manual_csv_fallback_missing,insufficient_data,no,requires manual market data before scoring
SPY,SPDR S&P 500 ETF Trust,ETF,Benchmark ETF,Benchmark ETF,mega,low,yes,10.0,,,,,,,,,,,,2026-07-09T11:40:59-05:00,manual_csv_fallback_missing,insufficient_data,no,requires manual market data before scoring
