relative_path,touch_categories,classification,sensitivity,reason,phase_tokens,no_action_in_phase0a
03_research/email_draft_agent_phase4b/weekly_email_subject.txt,risk_rules;email_drafts,NEEDS_HUMAN_REVIEW,HIGH,"contains risk policy, checklist, sizing, or risk calculator material; touches email draft, recipient, Gmail/OAuth, or email preflight flow",phase4b,TRUE
03_research/email_preflight_phase5b/preflight_rules.md,email_drafts;weekly_reviews,NEEDS_HUMAN_REVIEW,HIGH,"touches email draft, recipient, Gmail/OAuth, or email preflight flow; touches weekly review/reporting workflow",phase5b,TRUE
03_research/email_preflight_phase5b/recipient_allowlist_policy.md,email_drafts,NEEDS_HUMAN_REVIEW,HIGH,"touches email draft, recipient, Gmail/OAuth, or email preflight flow",phase5b,TRUE
03_research/paper_execution_decision_phase2q/IOT_phase2q_decision_gate.md,risk_rules,ARCHIVE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",phase2q;phase2r,TRUE
03_research/paper_execution_decision_phase2q/RBRK_phase2q_decision_gate.md,risk_rules,ARCHIVE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",phase2q;phase2r,TRUE
03_research/paper_execution_log_phase2p/IOT_paper_execution_log_setup.md,risk_rules;trade_logs,NEEDS_HUMAN_REVIEW,HIGH,"contains risk policy, checklist, sizing, or risk calculator material; touches trade log, execution log, or trade journal data",phase2o;phase2p;phase2q,TRUE
03_research/paper_execution_log_phase2p/RBRK_paper_execution_log_setup.md,risk_rules;trade_logs,NEEDS_HUMAN_REVIEW,HIGH,"contains risk policy, checklist, sizing, or risk calculator material; touches trade log, execution log, or trade journal data",phase2o;phase2p;phase2q,TRUE
03_research/paper_execution_phase2r/IOT_paper_execution_record.md,risk_rules;weekly_reviews,NEEDS_HUMAN_REVIEW,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material; touches weekly review/reporting workflow",phase2q;phase2r,TRUE
03_research/paper_execution_phase2r/RBRK_paper_execution_record.md,risk_rules;weekly_reviews,NEEDS_HUMAN_REVIEW,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material; touches weekly review/reporting workflow",phase2q;phase2r,TRUE
03_research/paper_execution_readiness_phase2o/IOT_paper_execution_readiness.md,risk_rules;trade_logs,NEEDS_HUMAN_REVIEW,HIGH,"contains risk policy, checklist, sizing, or risk calculator material; touches trade log, execution log, or trade journal data",phase2h;phase2n;phase2o;phase2p,TRUE
03_research/paper_execution_readiness_phase2o/RBRK_paper_execution_readiness.md,risk_rules;trade_logs,NEEDS_HUMAN_REVIEW,HIGH,"contains risk policy, checklist, sizing, or risk calculator material; touches trade log, execution log, or trade journal data",phase2h;phase2n;phase2o;phase2p,TRUE
03_research/paper_plan_drafts_phase2n/IOT_paper_plan_draft.md,risk_rules,ARCHIVE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",phase2j;phase2k;phase2m;phase2n,TRUE
03_research/paper_plan_drafts_phase2n/RBRK_paper_plan_draft.md,risk_rules,ARCHIVE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",phase2j;phase2k;phase2m;phase2n,TRUE
03_research/real_position_audit_phase3a/IOT_real_position_audit.md,real_positions;risk_rules,NEEDS_HUMAN_REVIEW,HIGH,"mentions or stores real position workflow data; contains risk policy, checklist, sizing, or risk calculator material",phase3a,TRUE
03_research/real_position_audit_phase3a/RBRK_real_position_audit.md,real_positions;risk_rules,NEEDS_HUMAN_REVIEW,HIGH,"mentions or stores real position workflow data; contains risk policy, checklist, sizing, or risk calculator material",phase3a,TRUE
03_research/real_position_monitoring_phase3b/IOT_real_position_note.md,real_positions;risk_rules;weekly_reviews,NEEDS_HUMAN_REVIEW,HIGH,"mentions or stores real position workflow data; contains risk policy, checklist, sizing, or risk calculator material; touches weekly review/reporting workflow",phase3b;phase3c,TRUE
03_research/real_position_monitoring_phase3b/RBRK_real_position_note.md,real_positions;risk_rules;weekly_reviews,NEEDS_HUMAN_REVIEW,HIGH,"mentions or stores real position workflow data; contains risk policy, checklist, sizing, or risk calculator material; touches weekly review/reporting workflow",phase3b;phase3c,TRUE
03_research/red_team_phase2f/IOT_red_team.md,risk_rules,ARCHIVE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",phase2f,TRUE
03_research/triage_notes_phase2e1/ACMR_phase2e1_note.md,risk_rules,ARCHIVE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",phase2e;phase2e1,TRUE
03_research/triage_notes_phase2e1/ALAB_phase2e1_note.md,risk_rules,ARCHIVE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",phase2e;phase2e1,TRUE
03_research/triage_notes_phase2e1/ARRY_phase2e1_note.md,risk_rules,ARCHIVE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",phase2e;phase2e1,TRUE
03_research/triage_notes_phase2e1/CRSP_phase2e1_note.md,risk_rules,ARCHIVE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",phase2e;phase2e1,TRUE
03_research/triage_notes_phase2e1/CRWV_phase2e1_note.md,risk_rules,ARCHIVE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",phase2e;phase2e1,TRUE
03_research/triage_notes_phase2e1/FLNC_phase2e1_note.md,risk_rules,ARCHIVE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",phase2e;phase2e1,TRUE
03_research/triage_notes_phase2e1/NVTS_phase2e1_note.md,risk_rules,ARCHIVE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",phase2e;phase2e1,TRUE
03_research/triage_notes_phase2e1/RXRX_phase2e1_note.md,risk_rules,ARCHIVE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",phase2e;phase2e1,TRUE
03_research/triage_notes_phase2e1/TEM_phase2e1_note.md,risk_rules,ARCHIVE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",phase2e;phase2e1,TRUE
03_research/valuation_earnings_phase2l/IOT_next_earnings_checklist.md,risk_rules,ARCHIVE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",phase2h;phase2k;phase2l,TRUE
03_research/valuation_earnings_phase2l/RBRK_next_earnings_checklist.md,risk_rules,ARCHIVE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",phase2h;phase2k;phase2l,TRUE
03_research/weekly_review_agent_phase4a/IOT_weekly_review_note.md,real_positions;risk_rules;sec_alerts;weekly_reviews,NEEDS_HUMAN_REVIEW,HIGH,"mentions or stores real position workflow data; contains risk policy, checklist, sizing, or risk calculator material; touches SEC filing alert logic or alert outputs; touches weekly review/reporting workflow",phase4a,TRUE
03_research/weekly_review_agent_phase4a/RBRK_weekly_review_note.md,real_positions;risk_rules;sec_alerts;weekly_reviews,NEEDS_HUMAN_REVIEW,HIGH,"mentions or stores real position workflow data; contains risk policy, checklist, sizing, or risk calculator material; touches SEC filing alert logic or alert outputs; touches weekly review/reporting workflow",phase4a,TRUE
04_data/phase2n_paper_plan_draft_labels.csv,risk_rules,ARCHIVE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",phase2m;phase2n,TRUE
04_data/phase2n_paper_plan_risk_template.csv,risk_rules,ARCHIVE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",phase2n,TRUE
04_data/phase2o_paper_execution_readiness.csv,risk_rules;trade_logs,NEEDS_HUMAN_REVIEW,HIGH,"contains risk policy, checklist, sizing, or risk calculator material; touches trade log, execution log, or trade journal data",phase2o;phase2p,TRUE
04_data/phase2p_human_signoff_template.csv,risk_rules,ARCHIVE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",phase2p;phase2q,TRUE
04_data/phase2p_paper_execution_log.csv,risk_rules;trade_logs,NEEDS_HUMAN_REVIEW,HIGH,"contains risk policy, checklist, sizing, or risk calculator material; touches trade log, execution log, or trade journal data",phase2o1b;phase2p;phase2q,TRUE
04_data/phase2p_risk_calculator_inputs.csv,risk_rules,ARCHIVE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",phase2p;phase2q,TRUE
04_data/phase2q_risk_calculator_results.csv,risk_rules,ARCHIVE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",phase2q;phase2r,TRUE
04_data/phase2r_paper_execution_log.csv,trade_logs,NEEDS_HUMAN_REVIEW,HIGH,"touches trade log, execution log, or trade journal data",phase2q;phase2r,TRUE
04_data/phase3a_real_position_audit.csv,real_positions,NEEDS_HUMAN_REVIEW,HIGH,mentions or stores real position workflow data,phase3a,TRUE
04_data/phase3a_structure_transition_checklist.csv,real_positions;trade_logs,NEEDS_HUMAN_REVIEW,HIGH,"mentions or stores real position workflow data; touches trade log, execution log, or trade journal data",phase2;phase3;phase3a,TRUE
04_data/phase3b_real_position_input_template.csv,real_positions,NEEDS_HUMAN_REVIEW,HIGH,mentions or stores real position workflow data,phase3b,TRUE
04_data/phase3b_real_position_inputs_filled.csv,real_positions,NEEDS_HUMAN_REVIEW,HIGH,mentions or stores real position workflow data,phase3b,TRUE
04_data/phase3b_real_position_inputs_filled_normalized.csv,real_positions,NEEDS_HUMAN_REVIEW,HIGH,mentions or stores real position workflow data,phase3b,TRUE
04_data/phase3b_real_position_log.csv,real_positions,NEEDS_HUMAN_REVIEW,HIGH,mentions or stores real position workflow data,phase3b,TRUE
04_data/phase3b_real_position_risk_review.csv,real_positions;risk_rules,NEEDS_HUMAN_REVIEW,HIGH,"mentions or stores real position workflow data; contains risk policy, checklist, sizing, or risk calculator material",phase3b,TRUE
04_data/phase3b_real_risk_calculation.csv,real_positions,NEEDS_HUMAN_REVIEW,HIGH,mentions or stores real position workflow data,phase3b,TRUE
04_data/phase3b_weekly_monitoring_checklist.csv,weekly_reviews;trade_logs,NEEDS_HUMAN_REVIEW,HIGH,"touches weekly review/reporting workflow; touches trade log, execution log, or trade journal data",phase3b,TRUE
04_data/phase3c_restructure_action_items.csv,real_positions;risk_rules;email_drafts;sec_alerts;weekly_reviews,NEEDS_HUMAN_REVIEW,HIGH,"mentions or stores real position workflow data; contains risk policy, checklist, sizing, or risk calculator material; touches email draft, recipient, Gmail/OAuth, or email preflight flow; touches SEC filing alert logic or alert outputs; touches weekly review/reporting workflow",phase3b;phase3c;phase4a;phase4b;phase5,TRUE
04_data/phase4a_weekly_action_labels.csv,weekly_reviews,NEEDS_HUMAN_REVIEW,MEDIUM,touches weekly review/reporting workflow,phase4a,TRUE
04_data/phase4a_weekly_real_position_alerts.csv,real_positions;weekly_reviews,NEEDS_HUMAN_REVIEW,HIGH,mentions or stores real position workflow data; touches weekly review/reporting workflow,phase4a,TRUE
04_data/phase4a_weekly_review_run_log.csv,weekly_reviews,NEEDS_HUMAN_REVIEW,MEDIUM,touches weekly review/reporting workflow,phase4a,TRUE
04_data/phase4b_email_draft_metadata.csv,risk_rules;email_drafts,NEEDS_HUMAN_REVIEW,HIGH,"contains risk policy, checklist, sizing, or risk calculator material; touches email draft, recipient, Gmail/OAuth, or email preflight flow",phase4b,TRUE
04_data/phase4b_email_draft_run_log.csv,real_positions;email_drafts;weekly_reviews,NEEDS_HUMAN_REVIEW,HIGH,"mentions or stores real position workflow data; touches email draft, recipient, Gmail/OAuth, or email preflight flow; touches weekly review/reporting workflow",phase4b,TRUE
04_data/phase5a_email_automation_action_items.csv,email_drafts,NEEDS_HUMAN_REVIEW,HIGH,"touches email draft, recipient, Gmail/OAuth, or email preflight flow",phase5a;phase5b;phase5d;phase5e;phase5f,TRUE
04_data/phase5b_email_preflight_results.csv,email_drafts,NEEDS_HUMAN_REVIEW,HIGH,"touches email draft, recipient, Gmail/OAuth, or email preflight flow",phase4b;phase5a;phase5b,TRUE
04_data/phase5b_email_preflight_run_log.csv,email_drafts,NEEDS_HUMAN_REVIEW,HIGH,"touches email draft, recipient, Gmail/OAuth, or email preflight flow",phase5b,TRUE
04_data/phase5b_recipient_allowlist.csv,email_drafts,NEEDS_HUMAN_REVIEW,HIGH,"touches email draft, recipient, Gmail/OAuth, or email preflight flow",phase5b,TRUE
05_scripts/__pycache__/audit_phase3a_real_position_structure.cpython-313.pyc,real_positions,DELETE_CANDIDATE,HIGH,mentions or stores real position workflow data,phase3a,TRUE
05_scripts/__pycache__/check_phase4a_sec_filing_alerts.cpython-313.pyc,sec_alerts,DELETE_CANDIDATE,MEDIUM,touches SEC filing alert logic or alert outputs,phase4a,TRUE
05_scripts/__pycache__/create_phase2p_paper_execution_log_setup.cpython-313.pyc,trade_logs,DELETE_CANDIDATE,HIGH,"touches trade log, execution log, or trade journal data",phase2p,TRUE
05_scripts/__pycache__/create_phase2r_paper_execution_log.cpython-313.pyc,trade_logs,DELETE_CANDIDATE,HIGH,"touches trade log, execution log, or trade journal data",phase2r,TRUE
05_scripts/__pycache__/create_phase3b_real_position_log.cpython-313.pyc,real_positions,DELETE_CANDIDATE,HIGH,mentions or stores real position workflow data,phase3b,TRUE
05_scripts/__pycache__/create_phase4a_weekly_action_labels.cpython-313.pyc,weekly_reviews,DELETE_CANDIDATE,MEDIUM,touches weekly review/reporting workflow,phase4a,TRUE
05_scripts/__pycache__/create_phase4b_weekly_email_draft.cpython-313.pyc,email_drafts,DELETE_CANDIDATE,HIGH,"touches email draft, recipient, Gmail/OAuth, or email preflight flow",phase4b,TRUE
05_scripts/__pycache__/normalize_phase3b_real_position_inputs.cpython-313.pyc,real_positions,DELETE_CANDIDATE,HIGH,mentions or stores real position workflow data,phase3b,TRUE
05_scripts/__pycache__/risk_calculator.cpython-312.pyc,risk_rules,DELETE_CANDIDATE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",,TRUE
05_scripts/__pycache__/risk_calculator.cpython-313.pyc,risk_rules,DELETE_CANDIDATE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",,TRUE
05_scripts/__pycache__/run_phase2q_paper_risk_calculator.cpython-313.pyc,risk_rules,DELETE_CANDIDATE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",phase2q,TRUE
05_scripts/__pycache__/run_phase4a_weekly_real_position_review.cpython-313.pyc,real_positions;weekly_reviews,DELETE_CANDIDATE,HIGH,mentions or stores real position workflow data; touches weekly review/reporting workflow,phase4a,TRUE
05_scripts/audit_phase3a_real_position_structure.py,real_positions;risk_rules;weekly_reviews;trade_logs,NEEDS_HUMAN_REVIEW,HIGH,"mentions or stores real position workflow data; contains risk policy, checklist, sizing, or risk calculator material; touches weekly review/reporting workflow; touches trade log, execution log, or trade journal data",phase2;phase2p;phase2q;phase2r;phase2s;phase3;phase3a,TRUE
05_scripts/audit_phase3c_agent_restructure.py,real_positions;risk_rules;email_drafts;sec_alerts;weekly_reviews;trade_logs,NEEDS_HUMAN_REVIEW,HIGH,"mentions or stores real position workflow data; contains risk policy, checklist, sizing, or risk calculator material; touches email draft, recipient, Gmail/OAuth, or email preflight flow; touches SEC filing alert logic or alert outputs; touches weekly review/reporting workflow; touches trade log, execution log, or trade journal data",phase0;phase2;phase2n;phase2p;phase2q;phase2r;phase3;phase3a;phase3b;phase3c;phase4;phase4a;phase4b;phase5,TRUE
05_scripts/calculate_phase3b_real_risk.py,real_positions;risk_rules,NEEDS_HUMAN_REVIEW,HIGH,"mentions or stores real position workflow data; contains risk policy, checklist, sizing, or risk calculator material",phase3b,TRUE
05_scripts/check_phase4a_sec_filing_alerts.py,real_positions;sec_alerts;weekly_reviews,NEEDS_HUMAN_REVIEW,HIGH,mentions or stores real position workflow data; touches SEC filing alert logic or alert outputs; touches weekly review/reporting workflow,phase4a,TRUE
05_scripts/create_phase2l_valuation_earnings_workpapers.py,risk_rules,MIGRATE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",phase2e1;phase2h;phase2i;phase2j;phase2k;phase2l;phase2m,TRUE
05_scripts/create_phase2m_research_decision_review.py,risk_rules,MIGRATE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",phase2f;phase2i;phase2j;phase2k;phase2l;phase2m;phase2n,TRUE
05_scripts/create_phase2n_paper_plan_drafts.py,risk_rules,MIGRATE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",phase2i;phase2j;phase2k;phase2l;phase2m;phase2n;phase2o,TRUE
05_scripts/create_phase2o_paper_execution_readiness.py,risk_rules;trade_logs,NEEDS_HUMAN_REVIEW,HIGH,"contains risk policy, checklist, sizing, or risk calculator material; touches trade log, execution log, or trade journal data",phase2e1;phase2l;phase2n;phase2o;phase2p,TRUE
05_scripts/create_phase2p_paper_execution_log_setup.py,risk_rules;trade_logs,NEEDS_HUMAN_REVIEW,HIGH,"contains risk policy, checklist, sizing, or risk calculator material; touches trade log, execution log, or trade journal data",phase2n;phase2o;phase2o1b;phase2p;phase2q,TRUE
05_scripts/create_phase2q_execution_decision_gate.py,risk_rules;trade_logs,NEEDS_HUMAN_REVIEW,HIGH,"contains risk policy, checklist, sizing, or risk calculator material; touches trade log, execution log, or trade journal data",phase2n;phase2o;phase2p;phase2q;phase2r,TRUE
05_scripts/create_phase2r_paper_execution_log.py,risk_rules;weekly_reviews;trade_logs,NEEDS_HUMAN_REVIEW,HIGH,"contains risk policy, checklist, sizing, or risk calculator material; touches weekly review/reporting workflow; touches trade log, execution log, or trade journal data",phase2e1;phase2n;phase2o;phase2p;phase2q;phase2r;phase2s,TRUE
05_scripts/create_phase3b_real_position_log.py,real_positions;risk_rules;weekly_reviews;trade_logs,NEEDS_HUMAN_REVIEW,HIGH,"mentions or stores real position workflow data; contains risk policy, checklist, sizing, or risk calculator material; touches weekly review/reporting workflow; touches trade log, execution log, or trade journal data",phase2q;phase2r;phase3a;phase3b;phase3c,TRUE
05_scripts/create_phase4a_weekly_action_labels.py,real_positions;weekly_reviews,NEEDS_HUMAN_REVIEW,HIGH,mentions or stores real position workflow data; touches weekly review/reporting workflow,phase3b;phase4a,TRUE
05_scripts/create_phase4b_weekly_email_draft.py,real_positions;risk_rules;email_drafts;sec_alerts;weekly_reviews,NEEDS_HUMAN_REVIEW,HIGH,"mentions or stores real position workflow data; contains risk policy, checklist, sizing, or risk calculator material; touches email draft, recipient, Gmail/OAuth, or email preflight flow; touches SEC filing alert logic or alert outputs; touches weekly review/reporting workflow",phase3c;phase4a;phase4b;phase5a,TRUE
05_scripts/make_weekly_report.py,real_positions;weekly_reviews;trade_logs,NEEDS_HUMAN_REVIEW,HIGH,"mentions or stores real position workflow data; touches weekly review/reporting workflow; touches trade log, execution log, or trade journal data",,TRUE
05_scripts/normalize_phase3b_real_position_inputs.py,real_positions,NEEDS_HUMAN_REVIEW,HIGH,mentions or stores real position workflow data,phase3b,TRUE
05_scripts/phase5a_email_automation_preflight.py,email_drafts,NEEDS_HUMAN_REVIEW,HIGH,"touches email draft, recipient, Gmail/OAuth, or email preflight flow",phase4b;phase5a,TRUE
05_scripts/phase5b_email_preflight_validator.py,email_drafts,NEEDS_HUMAN_REVIEW,HIGH,"touches email draft, recipient, Gmail/OAuth, or email preflight flow",phase4b;phase5a;phase5b;phase5c,TRUE
05_scripts/rescore_phase2e1_candidates.py,risk_rules,MIGRATE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",phase2e;phase2e1,TRUE
05_scripts/review_8k_and_dilution_filings.py,risk_rules,KEEP,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",phase2c;phase2e1,TRUE
05_scripts/risk_calculator.py,risk_rules,KEEP,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",,TRUE
05_scripts/run_phase2q_paper_risk_calculator.py,risk_rules,MIGRATE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",phase2p;phase2q;phase2r,TRUE
05_scripts/run_phase4a_weekly_real_position_review.py,real_positions;risk_rules;email_drafts;sec_alerts;weekly_reviews,NEEDS_HUMAN_REVIEW,HIGH,"mentions or stores real position workflow data; contains risk policy, checklist, sizing, or risk calculator material; touches email draft, recipient, Gmail/OAuth, or email preflight flow; touches SEC filing alert logic or alert outputs; touches weekly review/reporting workflow",phase3b;phase4a;phase4b;phase5,TRUE
05_scripts/score_phase2k_peer_data_quality.py,risk_rules,MIGRATE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",phase2k;phase2l,TRUE
05_scripts/validate_phase2o_manual_chart_review.py,risk_rules,MIGRATE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",phase2o,TRUE
06_trading/paper_trades.csv,trade_logs,NEEDS_HUMAN_REVIEW,HIGH,"touches trade log, execution log, or trade journal data",,TRUE
06_trading/real_trades.csv,real_positions;trade_logs,NEEDS_HUMAN_REVIEW,HIGH,"mentions or stores real position workflow data; touches trade log, execution log, or trade journal data",,TRUE
06_trading/trade_journal.csv,trade_logs,NEEDS_HUMAN_REVIEW,HIGH,"touches trade log, execution log, or trade journal data",,TRUE
07_reviews/latest_real_position_weekly_review.md,real_positions;risk_rules;sec_alerts;weekly_reviews,NEEDS_HUMAN_REVIEW,HIGH,"mentions or stores real position workflow data; contains risk policy, checklist, sizing, or risk calculator material; touches SEC filing alert logic or alert outputs; touches weekly review/reporting workflow",,TRUE
07_reviews/latest_weekly_report.md,weekly_reviews,NEEDS_HUMAN_REVIEW,MEDIUM,touches weekly review/reporting workflow,,TRUE
07_reviews/monthly_review_template.md,risk_rules,KEEP,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",,TRUE
07_reviews/phase0_audit_report.md,real_positions;risk_rules;weekly_reviews;trade_logs,NEEDS_HUMAN_REVIEW,HIGH,"mentions or stores real position workflow data; contains risk policy, checklist, sizing, or risk calculator material; touches weekly review/reporting workflow; touches trade log, execution log, or trade journal data",phase0;phase0a;phase0b;phase1,TRUE
07_reviews/phase0b_phase1a_report.md,real_positions;risk_rules;weekly_reviews;trade_logs,NEEDS_HUMAN_REVIEW,HIGH,"mentions or stores real position workflow data; contains risk policy, checklist, sizing, or risk calculator material; touches weekly review/reporting workflow; touches trade log, execution log, or trade journal data",phase0a;phase0b;phase1a;phase1b,TRUE
07_reviews/phase1b_dry_run_report.md,risk_rules;weekly_reviews,NEEDS_HUMAN_REVIEW,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material; touches weekly review/reporting workflow",phase1b;phase1c,TRUE
07_reviews/phase1c_sec_fetch_report.md,risk_rules;weekly_reviews,NEEDS_HUMAN_REVIEW,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material; touches weekly review/reporting workflow",phase1c;phase1d,TRUE
07_reviews/phase1d_gpt_packet_report.md,risk_rules;weekly_reviews,NEEDS_HUMAN_REVIEW,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material; touches weekly review/reporting workflow",phase1c;phase1d,TRUE
07_reviews/phase1e_skill_draft_report.md,weekly_reviews,NEEDS_HUMAN_REVIEW,MEDIUM,touches weekly review/reporting workflow,phase1e;phase2a,TRUE
07_reviews/phase2a_real_universe_setup_report.md,weekly_reviews,NEEDS_HUMAN_REVIEW,MEDIUM,touches weekly review/reporting workflow,phase1b;phase2a;phase2b,TRUE
07_reviews/phase2b_candidate_sourcing_report.md,weekly_reviews,NEEDS_HUMAN_REVIEW,MEDIUM,touches weekly review/reporting workflow,phase2b;phase2c,TRUE
07_reviews/phase2c_sec_fetch_report.md,risk_rules;weekly_reviews,NEEDS_HUMAN_REVIEW,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material; touches weekly review/reporting workflow",phase1;phase2b;phase2c;phase2d,TRUE
07_reviews/phase2d_gpt_packet_report.md,risk_rules;weekly_reviews,NEEDS_HUMAN_REVIEW,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material; touches weekly review/reporting workflow",phase2b;phase2c;phase2d,TRUE
