relative_path,phase5r_decision,legacy_reason,touch_categories,sensitivity,phase_tokens,phase0b_blocks_phase5r,phase0c_blocks_phase5r,preserve_as_evidence,delete_allowed,archive_after_approval,notes
03_research/email_automation_phase5a/failure_handling_plan.md,EXCLUDE_FROM_PHASE5R,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",email_drafts,HIGH,phase5a,yes,no,yes,no,yes,No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/email_automation_phase5a/gmail_dry_run_plan.md,EXCLUDE_FROM_PHASE5R,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",email_drafts;sec_alerts;weekly_reviews,HIGH,phase5a;phase5b;phase5c;phase5d;phase5e;phase5f,yes,no,yes,no,yes,No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/email_automation_phase5a/oauth_security_plan.md,EXCLUDE_FROM_PHASE5R,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",email_drafts,HIGH,phase5a,yes,no,yes,no,yes,No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/email_draft_agent_phase4b/weekly_email_draft.html,EXCLUDE_FROM_PHASE5R,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",email_drafts;sec_alerts;weekly_reviews;risk_rules,HIGH,phase4b,yes,no,yes,no,yes,No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/email_draft_agent_phase4b/weekly_email_draft.md,EXCLUDE_FROM_PHASE5R,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",email_drafts;sec_alerts;weekly_reviews;risk_rules,HIGH,phase4b,yes,no,yes,no,yes,No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/email_draft_agent_phase4b/weekly_email_subject.txt,EXCLUDE_FROM_PHASE5R,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",email_drafts;risk_rules,HIGH,phase4b,yes,no,yes,no,yes,No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/email_preflight_phase5b/preflight_rules.md,EXCLUDE_FROM_PHASE5R,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",email_drafts;weekly_reviews,HIGH,phase5b,yes,no,yes,no,yes,No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/email_preflight_phase5b/recipient_allowlist_policy.md,EXCLUDE_FROM_PHASE5R,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",email_drafts,HIGH,phase5b,yes,no,yes,no,yes,No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/filing_excerpts_phase2f/IOT_filing_excerpts.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2f,no,no,yes,no,yes,
03_research/filing_excerpts_phase2f/RBRK_filing_excerpts.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2f,no,no,yes,no,yes,
03_research/gpt_packets/ACMR_gpt_packet.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2b;phase2c,no,no,yes,no,yes,
03_research/gpt_packets/ALAB_gpt_packet.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2b;phase2c,no,no,yes,no,yes,
03_research/gpt_packets/ARRY_gpt_packet.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2b;phase2c,no,no,yes,no,yes,
03_research/gpt_packets/CRSP_gpt_packet.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2b;phase2c,no,no,yes,no,yes,
03_research/gpt_packets/CRWV_gpt_packet.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2b;phase2c,no,no,yes,no,yes,
03_research/gpt_packets/ENVX_gpt_packet.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2b;phase2c,no,no,yes,no,yes,
03_research/gpt_packets/FLNC_gpt_packet.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2b;phase2c,no,no,yes,no,yes,
03_research/gpt_packets/IOT_gpt_packet.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2b;phase2c,no,no,yes,no,yes,
03_research/gpt_packets/NVTS_gpt_packet.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2b;phase2c,no,no,yes,no,yes,
03_research/gpt_packets/RBRK_gpt_packet.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2b;phase2c,no,no,yes,no,yes,
03_research/gpt_packets/RXRX_gpt_packet.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2b;phase2c,no,no,yes,no,yes,
03_research/gpt_packets/TEM_gpt_packet.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2b;phase2c,no,no,yes,no,yes,
03_research/gpt_review_phase2g/IOT_gpt_review.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2e;phase2e1;phase2g,no,no,yes,no,yes,
03_research/gpt_review_phase2g/RBRK_gpt_review.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2e;phase2e1;phase2g,no,no,yes,no,yes,
03_research/human_notes_synthesis_phase2i/IOT_synthesis.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2g;phase2h;phase2i;phase2j,no,no,yes,no,yes,
03_research/human_notes_synthesis_phase2i/RBRK_synthesis.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2g;phase2h;phase2i;phase2j,no,no,yes,no,yes,
03_research/manual_filing_review_phase2h/IOT_manual_filing_review.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2f;phase2g;phase2h,no,no,yes,no,yes,
03_research/manual_filing_review_phase2h/RBRK_manual_filing_review.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2f;phase2g;phase2h,no,no,yes,no,yes,
03_research/manual_filing_review_phase2h/phase2h_review_tracker.csv,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2h,no,no,yes,no,yes,
03_research/paper_execution_decision_phase2q/IOT_phase2q_decision_gate.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",risk_rules,MEDIUM,phase2q;phase2r,no,no,yes,no,yes,
03_research/paper_execution_decision_phase2q/RBRK_phase2q_decision_gate.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",risk_rules,MEDIUM,phase2q;phase2r,no,no,yes,no,yes,
03_research/paper_execution_log_phase2p/IOT_paper_execution_log_setup.md,LEGACY_QUARANTINE,Trade logs must be preserved as evidence and excluded from Phase 5R dependencies.,trade_logs;risk_rules,HIGH,phase2o;phase2p;phase2q,no,no,yes,no,yes,Preserve; do not delete or treat paper/real/journal files as interchangeable.
03_research/paper_execution_log_phase2p/RBRK_paper_execution_log_setup.md,LEGACY_QUARANTINE,Trade logs must be preserved as evidence and excluded from Phase 5R dependencies.,trade_logs;risk_rules,HIGH,phase2o;phase2p;phase2q,no,no,yes,no,yes,Preserve; do not delete or treat paper/real/journal files as interchangeable.
03_research/paper_execution_phase2r/IOT_paper_execution_record.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,Legacy real-position or weekly-position evidence; archive after approval and exclude from Phase 5R stock selection.,weekly_reviews;risk_rules,MEDIUM,phase2q;phase2r,no,no,yes,no,yes,Old IOT/RBRK holding context is explicitly out of scope.
03_research/paper_execution_phase2r/RBRK_paper_execution_record.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,Legacy real-position or weekly-position evidence; archive after approval and exclude from Phase 5R stock selection.,weekly_reviews;risk_rules,MEDIUM,phase2q;phase2r,no,no,yes,no,yes,Old IOT/RBRK holding context is explicitly out of scope.
03_research/paper_execution_readiness_phase2o/IOT_paper_execution_readiness.md,LEGACY_QUARANTINE,Trade logs must be preserved as evidence and excluded from Phase 5R dependencies.,trade_logs;risk_rules,HIGH,phase2h;phase2n;phase2o;phase2p,no,no,yes,no,yes,Preserve; do not delete or treat paper/real/journal files as interchangeable.
03_research/paper_execution_readiness_phase2o/RBRK_paper_execution_readiness.md,LEGACY_QUARANTINE,Trade logs must be preserved as evidence and excluded from Phase 5R dependencies.,trade_logs;risk_rules,HIGH,phase2h;phase2n;phase2o;phase2p,no,no,yes,no,yes,Preserve; do not delete or treat paper/real/journal files as interchangeable.
03_research/paper_plan_drafts_phase2n/IOT_paper_plan_draft.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",risk_rules,MEDIUM,phase2j;phase2k;phase2m;phase2n,no,no,yes,no,yes,
03_research/paper_plan_drafts_phase2n/RBRK_paper_plan_draft.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",risk_rules,MEDIUM,phase2j;phase2k;phase2m;phase2n,no,no,yes,no,yes,
03_research/peer_data_phase2k/IOT_peer_data.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2k;phase2l,no,no,yes,no,yes,
03_research/peer_data_phase2k/RBRK_peer_data.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2k;phase2l,no,no,yes,no,yes,
03_research/real_position_audit_phase3a/IOT_real_position_audit.md,LEGACY_QUARANTINE,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,real_positions;risk_rules,HIGH,phase3a,yes,no,yes,no,yes,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/real_position_audit_phase3a/RBRK_real_position_audit.md,LEGACY_QUARANTINE,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,real_positions;risk_rules,HIGH,phase3a,yes,no,yes,no,yes,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/real_position_monitoring_phase3b/IOT_real_position_note.md,LEGACY_QUARANTINE,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,real_positions;weekly_reviews;risk_rules,HIGH,phase3b;phase3c,yes,no,yes,no,yes,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/real_position_monitoring_phase3b/RBRK_real_position_note.md,LEGACY_QUARANTINE,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,real_positions;weekly_reviews;risk_rules,HIGH,phase3b;phase3c,yes,no,yes,no,yes,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/red_team_phase2f/IOT_red_team.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",risk_rules,MEDIUM,phase2f,no,no,yes,no,yes,
03_research/red_team_phase2f/RBRK_red_team.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2f,no,no,yes,no,yes,
03_research/research_decision_phase2m/IOT_research_decision.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2k;phase2l;phase2m;phase2n,no,no,yes,no,yes,
03_research/research_decision_phase2m/RBRK_research_decision.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2k;phase2l;phase2m;phase2n,no,no,yes,no,yes,
03_research/scenario_peer_work_phase2j/IOT_peer_framework.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2j,no,no,yes,no,yes,
03_research/scenario_peer_work_phase2j/IOT_scenario_workpaper.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2i;phase2j,no,no,yes,no,yes,
03_research/scenario_peer_work_phase2j/RBRK_peer_framework.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2j,no,no,yes,no,yes,
03_research/scenario_peer_work_phase2j/RBRK_scenario_workpaper.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2i;phase2j,no,no,yes,no,yes,
03_research/sector_frameworks/biotech_framework.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase1;phase2;phase3,no,no,yes,no,yes,
03_research/triage_notes/ACMR_triage_note.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2e,no,no,yes,no,yes,
03_research/triage_notes/ALAB_triage_note.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2e,no,no,yes,no,yes,
03_research/triage_notes/ARRY_triage_note.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2e,no,no,yes,no,yes,
03_research/triage_notes/CRSP_triage_note.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2e,no,no,yes,no,yes,
03_research/triage_notes/CRWV_triage_note.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2e,no,no,yes,no,yes,
03_research/triage_notes/ENVX_triage_note.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2e,no,no,yes,no,yes,
03_research/triage_notes/FLNC_triage_note.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2e,no,no,yes,no,yes,
03_research/triage_notes/IOT_triage_note.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2e,no,no,yes,no,yes,
03_research/triage_notes/NVTS_triage_note.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2e,no,no,yes,no,yes,
03_research/triage_notes/RBRK_triage_note.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2e,no,no,yes,no,yes,
03_research/triage_notes/RXRX_triage_note.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2e,no,no,yes,no,yes,
03_research/triage_notes/TEM_triage_note.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2e,no,no,yes,no,yes,
03_research/triage_notes_phase2e1/ACMR_phase2e1_note.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",risk_rules,MEDIUM,phase2e;phase2e1,no,no,yes,no,yes,
03_research/triage_notes_phase2e1/ALAB_phase2e1_note.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",risk_rules,MEDIUM,phase2e;phase2e1,no,no,yes,no,yes,
03_research/triage_notes_phase2e1/ARRY_phase2e1_note.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",risk_rules,MEDIUM,phase2e;phase2e1,no,no,yes,no,yes,
03_research/triage_notes_phase2e1/CRSP_phase2e1_note.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",risk_rules,MEDIUM,phase2e;phase2e1,no,no,yes,no,yes,
03_research/triage_notes_phase2e1/CRWV_phase2e1_note.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",risk_rules,MEDIUM,phase2e;phase2e1,no,no,yes,no,yes,
03_research/triage_notes_phase2e1/ENVX_phase2e1_note.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2e;phase2e1,no,no,yes,no,yes,
03_research/triage_notes_phase2e1/FLNC_phase2e1_note.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",risk_rules,MEDIUM,phase2e;phase2e1,no,no,yes,no,yes,
03_research/triage_notes_phase2e1/IOT_phase2e1_note.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2e;phase2e1,no,no,yes,no,yes,
03_research/triage_notes_phase2e1/NVTS_phase2e1_note.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",risk_rules,MEDIUM,phase2e;phase2e1,no,no,yes,no,yes,
03_research/triage_notes_phase2e1/RBRK_phase2e1_note.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2e;phase2e1,no,no,yes,no,yes,
03_research/triage_notes_phase2e1/RXRX_phase2e1_note.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",risk_rules,MEDIUM,phase2e;phase2e1,no,no,yes,no,yes,
03_research/triage_notes_phase2e1/TEM_phase2e1_note.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",risk_rules,MEDIUM,phase2e;phase2e1,no,no,yes,no,yes,
03_research/valuation_earnings_phase2l/IOT_next_earnings_checklist.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",risk_rules,MEDIUM,phase2h;phase2k;phase2l,no,no,yes,no,yes,
03_research/valuation_earnings_phase2l/IOT_valuation_risk_workpaper.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,Legacy real-position or weekly-position evidence; archive after approval and exclude from Phase 5R stock selection.,,LOW,phase2j;phase2k;phase2l,no,no,yes,no,yes,Old IOT/RBRK holding context is explicitly out of scope.
03_research/valuation_earnings_phase2l/RBRK_next_earnings_checklist.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",risk_rules,MEDIUM,phase2h;phase2k;phase2l,no,no,yes,no,yes,
03_research/valuation_earnings_phase2l/RBRK_valuation_risk_workpaper.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,Legacy real-position or weekly-position evidence; archive after approval and exclude from Phase 5R stock selection.,,LOW,phase2j;phase2k;phase2l,no,no,yes,no,yes,Old IOT/RBRK holding context is explicitly out of scope.
03_research/weekly_review_agent_phase4a/IOT_weekly_review_note.md,LEGACY_QUARANTINE,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,real_positions;sec_alerts;weekly_reviews;risk_rules,HIGH,phase4a,yes,no,yes,no,yes,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/weekly_review_agent_phase4a/RBRK_weekly_review_note.md,LEGACY_QUARANTINE,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,real_positions;sec_alerts;weekly_reviews;risk_rules,HIGH,phase4a,yes,no,yes,no,yes,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
04_data/phase2b_candidate_screening_results.csv,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2b,no,no,yes,no,yes,
04_data/phase2e1_8k_dilution_review.csv,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2e1,no,no,yes,no,yes,
04_data/phase2e1_manual_market_data_README.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2c;phase2e;phase2e1,no,no,yes,no,yes,
04_data/phase2e1_manual_market_data_filled.csv,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2e1,no,no,yes,no,yes,
04_data/phase2e1_manual_market_data_template.csv,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2e1,no,no,yes,no,yes,
04_data/phase2e1_manual_market_data_validated.csv,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2e1,no,no,yes,no,yes,
04_data/phase2e1_rescored_candidates.csv,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2e1,no,no,yes,no,yes,
04_data/phase2e_financial_enrichment.csv,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2e,no,no,yes,no,yes,
